Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
1958-08-23,1958,Barrow,Gateshead,0-3,0,3,4,4,3,-3,A
1958-08-23,1958,Bradford Park Avenue,Workington,3-2,3,2,4,4,5,1,H
1958-08-23,1958,Carlisle United,Aldershot,1-0,1,0,4,4,1,1,H
1958-08-23,1958,Chester,Torquay United,0-2,0,2,4,4,2,-2,A
1958-08-23,1958,Coventry City,Darlington,0-0,0,0,4,4,0,0,D
1958-08-23,1958,Crystal Palace,Crewe Alexandra,6-2,6,2,4,4,8,4,H
1958-08-23,1958,Exeter City,Walsall,3-0,3,0,4,4,3,3,H
1958-08-23,1958,Gillingham,Millwall,1-2,1,2,4,4,3,-1,A
1958-08-23,1958,Hartlepool United,Shrewsbury Town,0-2,0,2,4,4,2,-2,A
1958-08-23,1958,Oldham Athletic,York City,0-1,0,1,4,4,1,-1,A
1958-08-23,1958,Port Vale,Northampton Town,1-4,1,4,4,4,5,-3,A
1958-08-23,1958,Watford,Southport,5-1,5,1,4,4,6,4,H
1958-08-25,1958,Darlington,Aldershot,2-3,2,3,4,4,5,-1,A
1958-08-25,1958,Gateshead,Shrewsbury Town,1-2,1,2,4,4,3,-1,A
1958-08-25,1958,Hartlepool United,Bradford Park Avenue,3-0,3,0,4,4,3,3,H
1958-08-25,1958,Workington,Torquay United,3-3,3,3,4,4,6,0,D
1958-08-25,1958,York City,Southport,2-0,2,0,4,4,2,2,H
1958-08-26,1958,Carlisle United,Gillingham,1-2,1,2,4,4,3,-1,A
1958-08-26,1958,Oldham Athletic,Coventry City,2-0,2,0,4,4,2,2,H
1958-08-26,1958,Watford,Port Vale,0-2,0,2,4,4,2,-2,A
1958-08-27,1958,Crystal Palace,Chester,3-3,3,3,4,4,6,0,D
1958-08-28,1958,Exeter City,Barrow,4-0,4,0,4,4,4,4,H
1958-08-28,1958,Northampton Town,Crewe Alexandra,3-0,3,0,4,4,3,3,H
1958-08-28,1958,Walsall,Millwall,2-1,2,1,4,4,3,1,H
